file	bytes	skin	frames	seconds30	match	candidateCount	candidateUUIDs	descriptions	sha256	duplicateOf
Push Stop.fbx	527904	without-skin	79.0	2.6333	unique-name	1	c9c9d793-b96c-11e4-a802-0aaa78deedf9	Stop Pushing A Heavy Object	2fbe485d3405a7eb780de99b1752eee52e12437c723732991721fe968dc5c5ba	
Quick 180 Turn.fbx	394512	without-skin	40.0	1.3333	unique-name	1	c9c8c959-b96c-11e4-a802-0aaa78deedf9	Quick Right 180 Turn	f209dc9bd02dd6961483eff7f5732bd7f57519417145de49ce7302b878fe7ba7	
Reacting.fbx	629408	without-skin	111.0	3.7	unique-name	1	c9c8214a-b96c-11e4-a802-0aaa78deedf9	Being Surprised And Looking Right	4f0edc61fcd003eabb3a1ee7d616de6cf65c673e05f80ffb4d478d7fb9facbe6	
Restrain.fbx	760320	without-skin	228.0	7.6	unique-name	1	c9c8aace-b96c-11e4-a802-0aaa78deedf9	Block And Restraining A Larger Person	859450e03ef9ccdae0ca8ecf98e940600c11d5948e761a49c17b7f975b283418	
Rifle Aiming Idle.fbx	54952112	with-skin	94.0	3.1333	unique-name	1	c9c84492-b96c-11e4-a802-0aaa78deedf9	Rifle Standing Aiming Idle	19c4668989b87d1f50ac7bdf75ff5f4b8f3892f9013706218a43e765a9963983	
Rifle Crouch Turn.fbx	457552	without-skin	63.0	2.1	ambiguous-name	8	c9cd6935-b96c-11e4-a802-0aaa78deedf9 | c9cd6c40-b96c-11e4-a802-0aaa78deedf9 | c9cd69f9-b96c-11e4-a802-0aaa78deedf9 | c9cd6cfe-b96c-11e4-a802-0aaa78deedf9 | c9cd67a6-b96c-11e4-a802-0aaa78deedf9 | c9cd6ac2-b96c-11e4-a802-0aaa78deedf9 | c9cd686a-b96c-11e4-a802-0aaa78deedf9 | c9cd6b7e-b96c-11e4-a802-0aaa78deedf9	135 Degree Left Turn | 135 Degree Right Turn | 180 Degree Left Turn | 180 Degree Right Turn | 45 Degree Left Turn | 45 Degree Right Turn | 90 Degree Left Turn | 90 Degree Right Turn	0440ad77b312e0d7ed55ab49b0e5535e4ef5418ed05b0b40a150c499ddb0d3ee	
Rifle Turn (1).fbx	54755648	with-skin	52.0	1.7333	ambiguous-name	8	c9cd5a01-b96c-11e4-a802-0aaa78deedf9 | c9cd5d03-b96c-11e4-a802-0aaa78deedf9 | c9cd5ab9-b96c-11e4-a802-0aaa78deedf9 | c9cd5dbe-b96c-11e4-a802-0aaa78deedf9 | c9cd5884-b96c-11e4-a802-0aaa78deedf9 | c9cd5b7f-b96c-11e4-a802-0aaa78deedf9 | c9cd5941-b96c-11e4-a802-0aaa78deedf9 | c9cd5c3e-b96c-11e4-a802-0aaa78deedf9	135 Degree Left Turn | 135 Degree Right Turn | 180 Degree Left Turn | 180 Degree Right Turn | 45 Degree Left Turn | 45 Degree Right Turn | 90 Degree Left Turn | 90 Degree Right Turn	6102bf48a22bd6e7566b4e73eef2d5031bd5bc65eccfb5b8bc3586073f931e08	
Rifle Turn.fbx	54722608	with-skin	40.0	1.3333	ambiguous-name	8	c9cd5a01-b96c-11e4-a802-0aaa78deedf9 | c9cd5d03-b96c-11e4-a802-0aaa78deedf9 | c9cd5ab9-b96c-11e4-a802-0aaa78deedf9 | c9cd5dbe-b96c-11e4-a802-0aaa78deedf9 | c9cd5884-b96c-11e4-a802-0aaa78deedf9 | c9cd5b7f-b96c-11e4-a802-0aaa78deedf9 | c9cd5941-b96c-11e4-a802-0aaa78deedf9 | c9cd5c3e-b96c-11e4-a802-0aaa78deedf9	135 Degree Left Turn | 135 Degree Right Turn | 180 Degree Left Turn | 180 Degree Right Turn | 45 Degree Left Turn | 45 Degree Right Turn | 90 Degree Left Turn | 90 Degree Right Turn	d918df513212075a39e72f79084c1a1eb4686f7b3453845b2ba45cc39c5deb76	
Rifle Turn1.fbx	396992	without-skin	52.0	1.7333	ambiguous-name	8	c9cd5a01-b96c-11e4-a802-0aaa78deedf9 | c9cd5d03-b96c-11e4-a802-0aaa78deedf9 | c9cd5ab9-b96c-11e4-a802-0aaa78deedf9 | c9cd5dbe-b96c-11e4-a802-0aaa78deedf9 | c9cd5884-b96c-11e4-a802-0aaa78deedf9 | c9cd5b7f-b96c-11e4-a802-0aaa78deedf9 | c9cd5941-b96c-11e4-a802-0aaa78deedf9 | c9cd5c3e-b96c-11e4-a802-0aaa78deedf9	135 Degree Left Turn | 135 Degree Right Turn | 180 Degree Left Turn | 180 Degree Right Turn | 45 Degree Left Turn | 45 Degree Right Turn | 90 Degree Left Turn | 90 Degree Right Turn	b3ec82dfdb9860905112832b5582a980ca375a5cd3271e65537ea47e233344f7	
Rifle Walk.fbx	54721200	with-skin	40.0	1.3333	unique-name	1	c9cd4bdf-b96c-11e4-a802-0aaa78deedf9	Walking With Rifle Down	bdc389906c13cee8851a1932c4b70546c97615042d403723b816700f7370170f	
Right Cover Sneak.fbx	372512	without-skin	35.0	1.1667	ambiguous-name	2	c9c9a2ae-b96c-11e4-a802-0aaa78deedf9 | c9caa2b7-b96c-11e4-a802-0aaa78deedf9	Right Standing Sneak Behind Cover | Right Standing Sneak Behind Cover	dc37fd13bf52b2988d7c606abc9856abb565957c8c7cb45a9dab123010b5ae23	
Right Turn W_ Briefcase (1).fbx	54790112	with-skin	65.0	2.1667	ambiguous-name	2	c9c9ef96-b96c-11e4-a802-0aaa78deedf9 | c9c9ed52-b96c-11e4-a802-0aaa78deedf9	Female Right Turn With Briefcase | Male Right Turn With Briefcase	2c6a4361d559f9d44ce8cd9831f04d85a3c825da67def42a768ede542b3896fd	
Right Turn W_ Briefcase (2).fbx	433936	without-skin	65.0	2.1667	ambiguous-name	2	c9c9ef96-b96c-11e4-a802-0aaa78deedf9 | c9c9ed52-b96c-11e4-a802-0aaa78deedf9	Female Right Turn With Briefcase | Male Right Turn With Briefcase	269759135a6fde8181ff71c97bf2275af1f977aae8802d195b7fd509edcc9bf6	
Right Turn W_ Briefcase.fbx	54790112	with-skin	65.0	2.1667	ambiguous-name	2	c9c9ef96-b96c-11e4-a802-0aaa78deedf9 | c9c9ed52-b96c-11e4-a802-0aaa78deedf9	Female Right Turn With Briefcase | Male Right Turn With Briefcase	6fda9a7ac25495e135180463127afbae68a5758105bef460a084a18fedba750d	
Right Turn W_ Briefcase1.fbx	433936	without-skin	65.0	2.1667	ambiguous-name	2	c9c9ef96-b96c-11e4-a802-0aaa78deedf9 | c9c9ed52-b96c-11e4-a802-0aaa78deedf9	Female Right Turn With Briefcase | Male Right Turn With Briefcase	7b3661bb4a6bcdd4341b1a2511167f1df5b53acc3bcba1ea82bdcecfa1f17278	
Run To Stop.fbx	353472	without-skin	28.0	0.9333	ambiguous-name	3	c9c952ac-b96c-11e4-a802-0aaa78deedf9 | c9c9a5a7-b96c-11e4-a802-0aaa78deedf9 | c9c8276d-b96c-11e4-a802-0aaa78deedf9	Crouched Run To A Crouched Stop | Fast Stop From Full Run | Run To Stop Against Object	bfea430dcfe736ded2082d3890fe0c5676d4db447c6048c447a689e7ef8575ca	
Running To Turn.fbx	54849872	with-skin	69.0	2.3	unique-name	1	c9c8d7db-b96c-11e4-a802-0aaa78deedf9	Fast Run To 180 Degree Turn	31fb074346246902f545bdd200fb8f77976ea656e72c810c682ac130709d605c	
Running.fbx	54687616	with-skin	22.0	0.7333	ambiguous-name	9	c9c81fce-b96c-11e4-a802-0aaa78deedf9 | c9c610bc-b96c-11e4-a802-0aaa78deedf9 | c9c97657-b96c-11e4-a802-0aaa78deedf9 | c9c97eca-b96c-11e4-a802-0aaa78deedf9 | c9c6cb0d-b96c-11e4-a802-0aaa78deedf9 | c9c83b2a-b96c-11e4-a802-0aaa78deedf9 | c9c99715-b96c-11e4-a802-0aaa78deedf9 | c9c8222d-b96c-11e4-a802-0aaa78deedf9 | c9c83790-b96c-11e4-a802-0aaa78deedf9	Action Move Running And Rolling | Male Weighted Run | Running Forward Quickly | Running Forward Quickly | Running Leaning Back Or Forth | Running While Carrying Someone | Running With Intention | Silly Run | Turn To Silly Run Away	9dba9c78b317a44c166a4ba349222e02a724f60d105123b99c6e3e1f68df3845	
Sad Idle.fbx	54883424	with-skin	85.0	2.8333	ambiguous-name	3	c9cccdb4-b96c-11e4-a802-0aaa78deedf9 | c9ccce75-b96c-11e4-a802-0aaa78deedf9 | c9cce12b-b96c-11e4-a802-0aaa78deedf9	Sad Idle Variation 1 | Sad Idle Variation 2 | Standing In A Sad Disposition	7f452a48f71d25e94ae5fec510a04bb978d33a53aa956ce672c27320bef44494	
Salute.fbx	54939296	with-skin	87.0	2.9	unique-name	1	c9cb0ab6-b96c-11e4-a802-0aaa78deedf9	Formal Military Salute	a9c5bd09ed0ab659897547b765b9c07b4df81d1d2eb9aec9238aecc35d825525	
Searching Files High.fbx	1097280	without-skin	293.0	9.7667	unique-name	1	c9ca0631-b96c-11e4-a802-0aaa78deedf9	Searching The Top Drawer Of A File Cabinet	27b5f5ac5efccb65ae204c906f2a0aa60f94a4c679d97c1d4302e9edae6672df	
Short Step Forward.fbx	342144	without-skin	31.0	1.0333	unique-name	1	c9cb50af-b96c-11e4-a802-0aaa78deedf9	Short Boxing Step Forward	3cf18d2c5031d5a8bb38bb61abaf95ab59ea729c74e0d110b9f9f880c8a4e97a	
Shoulder Rubbing.fbx	55140528	with-skin	176.0	5.8667	unique-name	1	c9c921db-b96c-11e4-a802-0aaa78deedf9	Rubbing A Shoulder	3646bb7e15afb285e9a8874bf2547058b101c4410d806a5f807cb6b3c72e6a21	
Shoved Reaction With Spin.fbx	54913840	with-skin	137.0	4.5667	unique-name	1	c9c68950-b96c-11e4-a802-0aaa78deedf9	Reaction To Getting Clipped While Walking Unaware	5e3aa9e686570ee38cb8327b859292411c0e9928d8eda5384cdd5cf1292cc148	
Side Step.fbx	425872	without-skin	45.0	1.5	unique-name	1	c9c7ff20-b96c-11e4-a802-0aaa78deedf9	Side Step	c0506a8373d6e86d27ae4691bffb24ec442183db7a7881d4394e651207d989ae	
Sneaking High-Step (Rejected as Walk).fbx	55032480	with-skin	139.0	4.6333	unmatched	0			f08f8fa24a51e308446740130fef75844cfb9c482285673bc18c1933da421b8b	
Stand To Cover.fbx	54733584	with-skin	35.0	1.1667	ambiguous-name	2	c9c99d44-b96c-11e4-a802-0aaa78deedf9 | c9c9a371-b96c-11e4-a802-0aaa78deedf9	Standing Ready To Standing Cover | Standing To A Crouched Cover Position	1b595f563676c5f742dd513c4fabf7647c51b5d77841717dcc2fd5274dfd0668	
Standard Walk.fbx	54747088	with-skin	36.0	1.2	unique-name	1	c9ccc2e9-b96c-11e4-a802-0aaa78deedf9	Standard Walk	915787ba151489cb86430f60421234a7be0385777ddc62f89fb54991dbb3cbcd	
Standing Torch Turn Left 180.fbx	54793280	with-skin	48.0	1.6	unique-name	1	9b834f51-0ba2-4e77-86fc-a4a97971ed88	Turning 180 Degrees Left With Torch	6119f8d84e09eff30d73b7e020242c6816895f81ad5fd5cc8d4080a899710870	
Standing Up.fbx	55109120	with-skin	183.0	6.1	ambiguous-name	4	c9c8335e-b96c-11e4-a802-0aaa78deedf9 | c9c81e56-b96c-11e4-a802-0aaa78deedf9 | c9ccd8eb-b96c-11e4-a802-0aaa78deedf9 | c9c6dc32-b96c-11e4-a802-0aaa78deedf9	Sitting To Standing | Standing Up And Looking Around | Standing Up From A Soccer Fall | Standing Up From Lying On Stomach	bd6ed0ae434a905593b45cea75513ed3dea86fbdf7e1d1b53bd4fdf5169ab12b	
Start Walking (1).fbx	54918272	with-skin	89.0	2.9667	ambiguous-name	3	c9c8bd07-b96c-11e4-a802-0aaa78deedf9 | c9c84b67-b96c-11e4-a802-0aaa78deedf9 | c9c8b661-b96c-11e4-a802-0aaa78deedf9	Standing To Start Walking With Rifle | Start Walking While Aiming | Walking From Standing	539f28804d19e435b32d2d0cd65b07b22e56f0f0445d55522b2c221bbbe25a82	
Start Walking.fbx	54918272	with-skin	89.0	2.9667	ambiguous-name	3	c9c8bd07-b96c-11e4-a802-0aaa78deedf9 | c9c84b67-b96c-11e4-a802-0aaa78deedf9 | c9c8b661-b96c-11e4-a802-0aaa78deedf9	Standing To Start Walking With Rifle | Start Walking While Aiming | Walking From Standing	23af571a693c44a8a95e98b3bb45c141e63c5f87461541e8462cef46bf9f064d	
Step Backward.fbx	327728	without-skin	26.0	0.8667	ambiguous-name	3	c9cb4f35-b96c-11e4-a802-0aaa78deedf9 | c9cadc5e-b96c-11e4-a802-0aaa78deedf9 | c9cadb92-b96c-11e4-a802-0aaa78deedf9	Long Boxing Step Backward | Medium Boxing Step Backward | Short Boxing Step Backward	e395788fa62845b5424d55e50c6554551fd50050018c98807a7b31d5df0fd14a	
Stop Walking With Rifle.fbx	491248	without-skin	69.0	2.3	unique-name	1	c9c8e19e-b96c-11e4-a802-0aaa78deedf9	Walking With A Rifle To A Stop	b93447e7c28d925ae6484d4b88409d19bf42e66e26e8b08037e076540183552e	
Stop Walking.fbx	568944	without-skin	91.0	3.0333	ambiguous-name	2	c9c85a17-b96c-11e4-a802-0aaa78deedf9 | c9c8d966-b96c-11e4-a802-0aaa78deedf9	Stops Walking While Aiming Rifle | Walking To Standing Idle	16fdd1b5a271206f569879cf891fdab85c6d575436a4f204c97b95e886467276	
Swagger Walk.fbx	54895520	with-skin	85.0	2.8333	unique-name	1	c9c8a862-b96c-11e4-a802-0aaa78deedf9	Walking With A Swagger	9e9e67c4c1adfe401b56abce76e55b7b3481126230b9de517f919c632f44aa2c	
Sword And Shield 180 Turn.fbx	327120	without-skin	25.0	0.8333	ambiguous-name	2	c9cc4e48-b96c-11e4-a802-0aaa78deedf9 | c9cc4bed-b96c-11e4-a802-0aaa78deedf9	Sword And Shield Run 180 Turn | Sword And Shield Walk 180 Turn	347339a290a00929d82df679e95aaac76a1f15886614510fb2c1b8d0941272b6	
Turn Left 45 Degrees.fbx	389648	without-skin	36.0	1.2	unique-name	1	c9ccccfa-b96c-11e4-a802-0aaa78deedf9	Turn Left 45 Degrees While Aiming Rifle	f89059b259c00727a7003e783678ef33545caab0f23d0c62df65f2e31bab7fec	
Unarmed Idle Looking Ver. 1.fbx	1195120	without-skin	339.0	11.3	unique-name	1	c9ceeaca-b96c-11e4-a802-0aaa78deedf9	Looking Around	2c82724860237c7593aad8f6f6e04ea975cb018689cff447e44ce40bd3f4c521	
Unarmed Idle.fbx	54820448	with-skin	58.0	1.9333	unique-name	1	c9ceea07-b96c-11e4-a802-0aaa78deedf9	Standing Idle- Loop	5fc30f0aaf6802a922a668071975c8073786bffe7c71278b75711ca3619babaf	
Unarmed Turn Left 90.fbx	431232	without-skin	46.0	1.5333	unique-name	1	c9ceef5f-b96c-11e4-a802-0aaa78deedf9	Turning 90 Degrees Left	6347d422928ec8e14ab496f877625be9285dca663cb9b29963e29b0b7c60bd16	
Unarmed Turn Right 90.fbx	427136	without-skin	46.0	1.5333	unique-name	1	c9cef01d-b96c-11e4-a802-0aaa78deedf9	Turning 90 Degrees Right	19d83dc2f7f062afaec346732c7d6895c7ba18d359dc94474b5dd186231330b4	
Walk Forward Arc Right.fbx	54780464	with-skin	45.0	1.5	unique-name	1	c9ccdbe3-b96c-11e4-a802-0aaa78deedf9	Walking Forward Right Arc In A Sad Disposition	5117bdb433fe880343a70e074f1bb668a16dc9c2543d49fbcbdb4291a995a41f	
Walk Forward Arc Right1.fbx	424288	without-skin	45.0	1.5	unique-name	1	c9ccdbe3-b96c-11e4-a802-0aaa78deedf9	Walking Forward Right Arc In A Sad Disposition	c64a02a67a15f83e1a15eb2ea56f64fe3709f30e9558f123b38ac62fc34eee2a	
Walk With Rifle (1).fbx	54860912	with-skin	102.0	3.4	ambiguous-name	3	c9c9067d-b96c-11e4-a802-0aaa78deedf9 | c9cc1182-b96c-11e4-a802-0aaa78deedf9 | c9cc1324-b96c-11e4-a802-0aaa78deedf9	Quickly Walk Forward With Rifle | Walking With Rifle At Waist Level | Walking With Rifle At Waist Level 3 Cycle	7c1257a6caabba87c6b305d07518cb722522bc31f92f1d3cfb66a6b007ab83de	
Walk With Rifle.fbx	54759728	with-skin	44.0	1.4667	ambiguous-name	3	c9c9067d-b96c-11e4-a802-0aaa78deedf9 | c9cc1182-b96c-11e4-a802-0aaa78deedf9 | c9cc1324-b96c-11e4-a802-0aaa78deedf9	Quickly Walk Forward With Rifle | Walking With Rifle At Waist Level | Walking With Rifle At Waist Level 3 Cycle	b1035b268d89fcadd3803b1c7d80cf9a92030aa733bf3c96d926f75f77d974e7	
Walk With Rifle1.fbx	504752	without-skin	102.0	3.4	ambiguous-name	3	c9c9067d-b96c-11e4-a802-0aaa78deedf9 | c9cc1182-b96c-11e4-a802-0aaa78deedf9 | c9cc1324-b96c-11e4-a802-0aaa78deedf9	Quickly Walk Forward With Rifle | Walking With Rifle At Waist Level | Walking With Rifle At Waist Level 3 Cycle	faf251e1da6d92a089eb4f67f0cc67d87e84209fb661851990a7445adf1338a7	
Walking Turn 180.fbx	363552	without-skin	31.0	1.0333	unique-name	1	c9c9c73f-b96c-11e4-a802-0aaa78deedf9	Turning 180 Degrees While Walking	0377be9e42748690b930d2c8da92332b30120c45da9e655a761ba2908b5c99e7	
